GRBname,Trig_ID,T90,T90_err,redshift,z_err,conversion
GRB220715B,1116441.0,40.408,1.21781,,,3.74e-11
GRB220714B,1116221.0,49.04,7.735328,,,3.39e-11
GRB220711B,1115766.0,87.056,9.321645,,,3.39e-11
GRB220708A,1115156.0,4.0,1.414214,,,4.11e-11
GRB220706A,1114937.0,85.996,18.3338,,,3.57e-11
GRB220701A,1114034.0,13.524,2.596553,,,4.48e-11
GRB220623A,1111672.0,56.796,4.030395,,,3.68e-11
GRB220618A,1110821.0,106.368,50.87108,,,3.1099999999999995e-11
GRB220611A,1110090.0,57.0,12.36932,2.3608,+0.0002-0.0002,3.35e-11
GRB220521A,1107466.0,13.548,2.691501,5.6,,3.72e-11
GRB220518A,1107050.0,12.288,3.035787,,,3.49e-11
GRB220501A,1104842.0,202.24,20.60134,,,
GRB220430A,1104692.0,43.144,0.5641277,,,5.33e-11
GRB220427A,1104343.0,57.216,12.31129,,,3.44e-11
GRB220412B,1102329.0,0.14,0.03999999,,,
GRB220412A,1102281.0,44.26,7.827425,,,3.96e-11
GRB220408A,1101675.0,17.244,1.109104,,,3.66e-11
GRB220404A,1101133.0,5.28,0.9467079,,,
GRB220403B,1101053.0,26.968,3.276352,,,3.6899999999999997e-11
GRB220325A,1099310.0,3.504,0.5576414,,,5.0799999999999995e-11
GRB220319A,1098132.0,6.42,1.375034,,,3.21e-11
GRB220306B,1095288.0,12.336,3.2358,,,4.98e-11
GRB220305A,1095215.0,28.0,5.385165,,,3.88e-11
GRB220302A,1094950.0,6.592,2.093265,,,5.49e-11
GRB220218A,1093860.0,270.84,47.92474,,,
GRB220118A,1093742.0,10.608,1.779528,,,3.53e-11
GRB220117B,1093611.0,24.368,4.633444,,,3.5899999999999994e-11
GRB220117A,1093592.0,50.56,2.881111,4.961,,3.58e-11
GRB220101A,1091527.0,161.888,12.70973,4.61,,4.07e-11
GRB211227A,1091101.0,83.512,7.556661,0.228,,6.07e-11
GRB211225B,1090853.0,121.52,2.969466,,,
GRB211223C,1090656.0,11.076,0.7190773,,,
GRB211221A,1090472.0,136.528,13.88821,,,6.199999999999999e-11
GRB211211A,1088940.0,50.712,0.9292406,0.076or0.459,,4.2099999999999995e-11
