grb_name,flare_num,t_start,t_peak,t_stop,par_t_start,par_rise,par_decay,par_amp,par_t_start_err,par_rise_err,par_decay_err,par_amp_err,fluence_tot,fluence_rise,fluence_decay,peak_flux,peak_flux_err,redshift,conversion,t_rise,t_decay,t_wait,duration,d_l,e_iso,L_p,L_iso
GRB071031A,1,136.434,150.429,156.52,127.84321495011385,115.51228842087122,3.2651110658900557,2.478835784007742e-09,3.24192471657912,60.65235614589351,0.5765293779205004,5.0906456066933376e-08,0.0,0.0,0.0,0.0,0.0,,0.0,13.995000000000005,6.091000000000008,,20.086000000000013,,,,
GRB071031A,2,164.014,164.674,168.888,163.0196581511372,4.227173828278913,1.5416309987676555,82.8871127564762,0.1513428707027114,0.8466074187257464,0.0961372017095497,23.232558390204424,0.0,0.0,0.0,0.0,0.0,,0.0,0.6599999999999966,4.213999999999999,27.580000000000013,4.873999999999995,,,,
GRB071031A,3,185.174,190.47,195.576,177.6164691299241,82.15599784815217,1.904492095163029,7.574729702096838e-12,0.1668862907586794,0.0,0.0504409047520041,7.26015248211771e-12,0.0,0.0,0.0,0.0,0.0,,0.0,5.295999999999992,5.1059999999999945,21.159999999999997,10.401999999999987,,,,
GRB071031A,4,269.529,282.214,293.843,268.4339329496195,0.0962251736280161,11.976178253686957,115.64495859320398,0.1763211027566708,0.0772924089356015,0.5099306611439167,5.267352060907919,0.0,0.0,0.0,0.0,0.0,,0.0,12.685000000000002,11.629000000000019,84.35499999999999,24.31400000000002,,,,
GRB071031A,5,324.587,325.683,330.063,324.58700038338725,0.7625191907809419,5.491856412982047,10.503458431915556,0.8123932934162065,1.3391208858832837,2.475815475901527,4.351021439614521,0.0,0.0,0.0,0.0,0.0,,0.0,1.0960000000000036,4.3799999999999955,55.05799999999999,5.475999999999999,,,,
GRB071031A,6,339.777,344.965,350.966,331.91993112355965,89.40923588263303,2.1001003540341023,7.716647295302047e-12,0.3698450036469087,0.0,0.1112428513415502,1.4581326886274543e-11,0.0,0.0,0.0,0.0,0.0,,0.0,5.187999999999988,6.001000000000033,15.189999999999998,11.189000000000021,,,,
GRB071031A,7,489.035,508.968,516.845,484.0647483686898,149.06022487160254,3.430668832875664,1.9521795033537226e-12,0.8086654101736719,0.0,0.2470223353780171,5.1255335708809236e-12,0.0,0.0,0.0,0.0,0.0,,0.0,19.932999999999993,7.8770000000000095,149.25800000000004,27.810000000000002,,,,
GRB071025A,1,99.279,104.199,111.779,91.29073937209776,88.03314220236578,2.029419985753841,8.381515210701772e-12,0.3573227810386654,0.0,0.0964308293473286,1.4476052520984204e-11,0.0,0.0,0.0,0.0,0.0,,0.0,4.920000000000002,7.579999999999998,,12.5,,,,
GRB071025A,2,247.976,400.925,868.696,344.294996850142,28.103771836056744,391.8924015061384,1.2995095731657114,156.8978414738587,183.8297035478853,413.5809960682778,1.192251151535286,0.0,0.0,0.0,0.0,0.0,,0.0,152.949,467.771,148.697,620.72,,,,
GRB110411A,1,94.165698380445,97.0483033608769,109.614,90.10704785923902,16.359424464005567,3.307524078994036,40.862941462220896,0.7116275822837239,4.649447418845466,0.2392541415301892,39.09763356232896,2.2722092820394528e-08,5.955006218167226e-09,1.67670866022273e-08,3.6537998498777703e-09,5.47237550673553e-10,,3.89e-11,2.882604980431907,12.565696639123104,,15.44830161955501,,,,
GRB110411A,2,124.564,142.494,153.578,116.86898862400596,152.06778998608655,3.4930441177391507,4.565437715390932e-12,0.0,0.0,0.0,1.4900813713562608e-15,4.032893916230697e-08,2.379705317028621e-08,1.6531885992020747e-08,5.767465710000001e-09,7.052017620000001e-10,,3.89e-11,17.930000000000007,11.084000000000003,30.398301619555,29.01400000000001,,,,
GRB110411A,3,484.079,645.43,1075.167,584.1449471396899,38.23240879829015,72.2542209038822,3.0273448540128767,38.79609032529024,105.5429159895456,35.780363804545466,1.4514884927840106,6.206840555064457e-09,1.8298960434886576e-09,4.376944511575799e-09,6.598358040000001e-11,1.4117953660000001e-11,,3.89e-11,161.35099999999994,429.73699999999997,359.515,591.088,,,,
GRB100807A,1,447.819,526.542,823.086,457.1073766394217,53.74064104836653,51.54085196421779,9.704973630878742,24.775833583380614,61.157409245920505,8.476658093325707,0.7424015756497728,2.042356792369089e-08,8.441387592458644e-09,1.1982180331232248e-08,2.5311509219999995e-10,5.068347792e-11,,5.34e-11,78.72300000000001,296.544,,375.267,,,,
